CaptureSignal II -  INSA de Lyon - MATEIS / SGM - JF -  2007 -
Utilisateur: 

Description: 

N°	Date	Heure	Temps (s)	Voie 0 T éch(°C)	Voie 1 T Four(°C)	Voie 2 DL (1/10 mm)	Voie 3 	Voie 4 	Voie 5 	Voie 6 	Voie 7 	Voie 0 volts	Voie 1 volts	Voie 2 volts	Voie 3 volts	Voie 4 volts 	Voie 5 volts	Voie 6 volts	Voie 7 volts	Incident n°	Incident txt
60	30-09-2015	09:21:41	295.00	136.7	143.4	0.006	0	0	0	0	0	-0.502479	-0.510982	0.005557	0.000000	0.000000	0.000000	0.000000	0.000000	0		
61	30-09-2015	09:21:46	300.00	136.8	143.4	0.006	0	0	0	0	0	-0.502635	-0.510995	0.005566	0.000000	0.000000	0.000000	0.000000	0.000000	0		
62	30-09-2015	09:21:51	305.00	137.0	143.4	0.006	0	0	0	0	0	-0.502764	-0.511013	0.005771	0.000000	0.000000	0.000000	0.000000	0.000000	0		
63	30-09-2015	09:21:56	310.00	137.0	143.5	0.006	0	0	0	0	0	-0.502841	-0.511039	0.005680	0.000000	0.000000	0.000000	0.000000	0.000000	0		
64	30-09-2015	09:22:01	315.00	137.1	143.5	0.006	0	0	0	0	0	-0.502987	-0.511041	0.005904	0.000000	0.000000	0.000000	0.000000	0.000000	0		
65	30-09-2015	09:22:06	320.00	137.2	143.5	0.006	0	0	0	0	0	-0.503095	-0.511053	0.005887	0.000000	0.000000	0.000000	0.000000	0.000000	0		
66	30-09-2015	09:22:11	325.00	137.3	143.5	0.006	0	0	0	0	0	-0.503177	-0.511076	0.006003	0.000000	0.000000	0.000000	0.000000	0.000000	0		
67	30-09-2015	09:22:16	330.00	137.4	143.5	0.006	0	0	0	0	0	-0.503304	-0.511077	0.005926	0.000000	0.000000	0.000000	0.000000	0.000000	0		
68	30-09-2015	09:22:21	335.00	137.5	143.5	0.006	0	0	0	0	0	-0.503414	-0.511080	0.006055	0.000000	0.000000	0.000000	0.000000	0.000000	0		
69	30-09-2015	09:22:26	340.00	137.6	143.5	0.006	0	0	0	0	0	-0.503526	-0.511053	0.006166	0.000000	0.000000	0.000000	0.000000	0.000000	0		
70	30-09-2015	09:22:31	345.00	137.6	143.5	0.006	0	0	0	0	0	-0.503620	-0.511019	0.006235	0.000000	0.000000	0.000000	0.000000	0.000000	0		
71	30-09-2015	09:22:36	350.00	137.7	143.5	0.006	0	0	0	0	0	-0.503729	-0.511095	0.006111	0.000000	0.000000	0.000000	0.000000	0.000000	0		
72	30-09-2015	09:22:41	355.00	137.8	143.5	0.006	0	0	0	0	0	-0.503822	-0.511061	0.006223	0.000000	0.000000	0.000000	0.000000	0.000000	0		
73	30-09-2015	09:22:46	360.00	137.9	143.5	0.006	0	0	0	0	0	-0.503923	-0.511087	0.006317	0.000000	0.000000	0.000000	0.000000	0.000000	0		
74	30-09-2015	09:22:51	365.00	137.9	143.5	0.006	0	0	0	0	0	-0.504017	-0.511089	0.006370	0.000000	0.000000	0.000000	0.000000	0.000000	0		
75	30-09-2015	09:22:56	370.00	138.0	143.5	0.006	0	0	0	0	0	-0.504088	-0.511087	0.006339	0.000000	0.000000	0.000000	0.000000	0.000000	0		
76	30-09-2015	09:23:01	375.00	138.1	143.5	0.006	0	0	0	0	0	-0.504225	-0.511084	0.006445	0.000000	0.000000	0.000000	0.000000	0.000000	0		
77	30-09-2015	09:23:06	380.00	138.2	143.5	0.007	0	0	0	0	0	-0.504336	-0.511087	0.006505	0.000000	0.000000	0.000000	0.000000	0.000000	0		
78	30-09-2015	09:23:11	385.00	138.3	143.5	0.007	0	0	0	0	0	-0.504430	-0.511079	0.006511	0.000000	0.000000	0.000000	0.000000	0.000000	0		
