CaptureSignal II -  INSA de Lyon - MATEIS / SGM - JF -  2010																					
Utilisateur: 																					
																					
Description: 																					
																					
N?	Date	Heure	Temps (s)	Voie 0 U(V)	Voie 1 I(A)	Voie 2 	Voie 3 	Voie 4 	Voie 5 	Voie 6 	Voie 7 	Voie 0 volts	Voie 1 volts	Voie 2 volts	Voie 3 volts	Voie 4 volts 	Voie 5 volts	Voie 6 volts	Voie 7 volts	Incident n?	Incident txt
91	09/10/2013	09:11:51	9.00	9.0635061	1.3641866	0	0	0	0	0	0	9.081670	1.312803	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
92	09/10/2013	09:11:51	9.10	9.0635509	1.3643066	0	0	0	0	0	0	9.081715	1.312919	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
93	09/10/2013	09:11:51	9.20	9.0635996	1.3640683	0	0	0	0	0	0	9.081762	1.312688	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
94	09/10/2013	09:11:51	9.30	9.0637550	1.3642308	0	0	0	0	0	0	9.081919	1.312845	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
95	09/10/2013	09:11:51	9.40	9.0638628	1.3643150	0	0	0	0	0	0	9.082026	1.312927	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
96	09/10/2013	09:11:51	9.50	9.0636005	1.3642610	0	0	0	0	0	0	9.081764	1.312875	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
97	09/10/2013	09:11:51	9.60	9.0634756	1.3641107	0	0	0	0	0	0	9.081639	1.312729	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
98	09/10/2013	09:11:51	9.70	9.0635815	1.3640385	0	0	0	0	0	0	9.081745	1.312659	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
99	09/10/2013	09:11:51	9.80	9.0637941	1.3640664	0	0	0	0	0	0	9.081959	1.312686	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
100	09/10/2013	09:11:51	9.90	9.0640593	1.3640943	0	0	0	0	0	0	9.082224	1.312713	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
101	09/10/2013	09:11:52	10.00	9.0642385	1.3639796	0	0	0	0	0	0	9.082403	1.312602	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
102	09/10/2013	09:11:52	10.10	9.0644665	1.3640429	0	0	0	0	0	0	9.082631	1.312663	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
103	09/10/2013	09:11:52	10.20	9.0647554	1.3641486	0	0	0	0	0	0	9.082921	1.312766	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
104	09/10/2013	09:11:52	10.30	9.0647211	1.3640348	0	0	0	0	0	0	9.082887	1.312655	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
105	09/10/2013	09:11:52	10.40	9.0645247	1.3643056	0	0	0	0	0	0	9.082689	1.312918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
106	09/10/2013	09:11:52	10.50	9.0642776	1.3643854	0	0	0	0	0	0	9.082442	1.312996	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	
